"prov" "agno" "casos" "esp" "long" "lat"
"356" 6 1982 61 63.106436497361 -6.13905369866462 38.7256674878886
"357" 7 1982 69 64.1701729790523 2.91946602099717 39.6320217153478
"358" 8 1982 370 351.800099883586 1.99811663925652 41.7469265779753
"359" 9 1982 23 39.6686156797028 -3.59134675355039 42.3729704312902
"360" 10 1982 51 45.0770831283996 -6.15535052135614 39.7231926273179
"361" 11 1982 78 54.8925097763919 -5.76468483106548 36.5624969412696
"362" 12 1982 54 48.1378895314552 -0.148039282559446 40.2507348146576
"363" 13 1982 47 47.0768653756113 -3.81339188792 38.9298215736108
"364" 14 1982 52 62.5140869571124 -4.81499528758521 38.0049023897714
"365" 15 1982 108 96.7033529975252 -8.45971855216294 43.1280401889178
"366" 16 1982 28 31.8500624263012 -2.19548700715003 39.9086860718255
"367" 17 1982 49 46.1890084504343 2.68708796205338 42.145865652011
"368" 18 1982 58 61.7646063924044 -3.2725162184824 37.3330507124855
"369" 19 1982 14 22.4985848924414 -2.62128556282702 40.8274558690964
"370" 20 1982 43 46.6264766401216 -2.16792853126469 43.1528089188849
"371" 21 1982 46 33.5430603235766 -6.83265276754075 37.5978334583402
"372" 22 1982 26 31.3868961766732 -0.059609139223607 42.2142401605038
"373" 23 1982 34 60.053267259898 -3.44979781370444 38.0308250493701
"374" 24 1982 50 58.8113152381622 -5.82870631120274 42.634323440999
"375" 25 1982 44 44.4781135997081 1.05797639294180 42.0569667018661
"376" 26 1982 25 25.5297501775218 -2.50129759774743 42.2834647638459
"377" 27 1982 52 62.018353383936 -7.43968312456498 43.0234823442494
"378" 28 1982 219 305.57034654274 -3.71281962879811 40.5070988091236
"379" 29 1982 95 68.6430408523318 -4.73055642619482 36.8262859308411
"380" 30 1982 64 76.0842552469055 -1.49630010993228 38.0192645198754
"381" 31 1982 37 48.1259821261331 -1.62626983258690 42.6731456222013
"382" 32 1982 42 55.1964991662669 -7.57751195701661 42.2058800425114
"383" 33 1982 108 104.806746775018 -5.9826023524122 43.3068393860113
"384" 34 1982 22 21.3060371597692 -4.5244778612837 42.3858592040108
"385" 35 1982 43 40.9898051396166 -14.0808342801231 28.5157089130002
"386" 36 1982 70 66.0128320734258 -8.44460855754943 42.4398016773539
"387" 37 1982 46 47.4475855687458 -6.0589248043088 40.8171845370366
"388" 38 1982 36 45.5745272449934 -16.5420836626214 28.4318722417734
"389" 39 1982 48 44.5006944236962 -4.01407954592847 43.2119867222126
"390" 40 1982 27 19.5564947298423 -4.04852400392879 41.1828032906417
"391" 41 1982 104 96.9596437555772 -5.68875708808965 37.448879916972
"392" 42 1982 10 16.8395075544847 -2.58123034319994 41.6308263313168
"393" 43 1982 63 54.6050868152642 0.826785127629588 41.099494777678
"394" 44 1982 25 25.2321278204195 -0.812830844826387 40.6744694945262
"395" 45 1982 47 53.9892887591212 -4.14438535984712 39.8056144801947
"396" 46 1982 164 169.027767743605 -0.789648969061416 39.3579240490339
"397" 47 1982 48 37.8617777245148 -4.83269168581912 41.6440757226044
"398" 48 1982 104 79.226415644021 -2.83223719674931 43.2527888459929
"399" 49 1982 25 32.9021447325549 -5.96472387457858 41.742081055707
